Original_Index,STATIONID,CRUISEID,Loc_date,DECSLAT,DECELAT,DECSLON,DECELON,Latitude,Longitude,DEPTH_SSTA,WIND_SPD,WIND_DIR,MIN_FISH,TOT_LIVE,FIN_CATCH,CRUS_CATCH,OTHR_CATCH,CLD_COVER,SECCHI_DSK,WECOLOR,DEPTH_EMID,DEPTH_EMAX,DEPTH_EWTR,TEMPSURF,TEMPMID,TEMPMAX,SALSURF,SALMID,SALMAX,CHLORSURF,CHLORMID,CHLORMAX,OXYSURF,OXYMID,OXYMAX,TURBSURF,TURBMID,TURBMAX,AVW,Rrs_346,Rrs_348,Rrs_351,Rrs_353,Rrs_356,Rrs_358,Rrs_361,Rrs_363,Rrs_366,Rrs_368,Rrs_371,Rrs_373,Rrs_375,Rrs_378,Rrs_380,Rrs_383,Rrs_385,Rrs_388,Rrs_390,Rrs_393,Rrs_395,Rrs_398,Rrs_400,Rrs_403,Rrs_405,Rrs_408,Rrs_410,Rrs_413,Rrs_415,Rrs_418,Rrs_420,Rrs_422,Rrs_425,Rrs_427,Rrs_430,Rrs_432,Rrs_435,Rrs_437,Rrs_440,Rrs_442,Rrs_445,Rrs_447,Rrs_450,Rrs_452,Rrs_455,Rrs_457,Rrs_460,Rrs_462,Rrs_465,Rrs_467,Rrs_470,Rrs_472,Rrs_475,Rrs_477,Rrs_480,Rrs_482,Rrs_485,Rrs_487,Rrs_490,Rrs_492,Rrs_495,Rrs_497,Rrs_500,Rrs_502,Rrs_505,Rrs_507,Rrs_510,Rrs_512,Rrs_515,Rrs_517,Rrs_520,Rrs_522,Rrs_525,Rrs_527,Rrs_530,Rrs_532,Rrs_535,Rrs_537,Rrs_540,Rrs_542,Rrs_545,Rrs_547,Rrs_550,Rrs_553,Rrs_555,Rrs_558,Rrs_560,Rrs_563,Rrs_565,Rrs_568,Rrs_570,Rrs_573,Rrs_575,Rrs_578,Rrs_580,Rrs_583,Rrs_586,Rrs_588,Rrs_613,Rrs_615,Rrs_618,Rrs_620,Rrs_623,Rrs_625,Rrs_627,Rrs_630,Rrs_632,Rrs_635,Rrs_637,Rrs_640,Rrs_641,Rrs_642,Rrs_643,Rrs_645,Rrs_646,Rrs_647,Rrs_648,Rrs_650,Rrs_651,Rrs_652,Rrs_653,Rrs_655,Rrs_656,Rrs_657,Rrs_658,Rrs_660,Rrs_661,Rrs_662,Rrs_663,Rrs_665,Rrs_666,Rrs_667,Rrs_668,Rrs_670,Rrs_671,Rrs_672,Rrs_673,Rrs_675,Rrs_676,Rrs_677,Rrs_678,Rrs_679,Rrs_681,Rrs_682,Rrs_683,Rrs_684,Rrs_686,Rrs_687,Rrs_688,Rrs_689,Rrs_691,Rrs_692,Rrs_693,Rrs_694,Rrs_696,Rrs_697,Rrs_698,Rrs_699,Rrs_701,Rrs_702,Rrs_703,Rrs_704,Rrs_706,Rrs_707,Rrs_708,Rrs_709,Rrs_711,Rrs_712,Rrs_713,Rrs_714,Rrs_717,Rrs_719
127,235738,1141,2024-10-27,26.246,26.222,-83.198,-83.209,26.234,-83.2035,49.4,12.2,52.0,30.0,72.6,,,,75.0,,,24.3,46.4,,27.24,27.3,27.28,37.75,37.71,37.76,,,,6.5,6.4,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,235739,1141,2024-10-27,26.349,26.345,-83.222,-83.249,26.347,-83.2355,49.4,7.1,96.0,30.0,24.4,,,,75.0,,,24.9,47.3,,27.14,27.15,27.15,37.68,37.71,37.75,,,,6.5,6.4,6.4,,,,480.9814282946549,0.00685911113396287,0.007124889176338911,0.007227333728224039,0.0071462225168943405,0.007427111268043518,0.007836000993847847,0.008014222607016563,0.008228890597820282,0.008319111540913582,0.008326002396643162,0.00830600131303072,0.008527111262083054,0.008879333734512329,0.008792223408818245,0.00872377771884203,0.00909177865833044,0.009365556761622429,0.009361335076391697,0.009241555817425251,0.009285557083785534,0.009680445306003094,0.009760667569935322,0.009410889819264412,0.009156222455203533,0.009068222716450691,0.008984223008155823,0.008896001614630222,0.008870000950992107,0.008874000981450081,0.008862889371812344,0.008855333551764488,0.008849333971738815,0.008814445696771145,0.00887088943272829,0.009056445211172104,0.009084668010473251,0.008964668028056622,0.008901778608560562,0.008842222392559052,0.008790668100118637,0.00881888996809721,0.008916446007788181,0.008984888903796673,0.009044889360666275,0.009130667895078659,0.009224445559084415,0.009345557540655136,0.009418446570634842,0.009452445432543755,0.009426000528037548,0.009406445547938347,0.009437779895961285,0.009431556798517704,0.009421557188034058,0.009427777491509914,0.009379112161695957,0.009357335045933723,0.009294888935983181,0.009120222181081772,0.008972223848104477,0.008784890174865723,0.008558889850974083,0.008375778794288635,0.008124668151140213,0.007814223878085613,0.007459335029125214,0.007009999826550484,0.006550444755703211,0.006259556394070387,0.006144001614302397,0.006063999608159065,0.005978000350296497,0.0059117781929671764,0.005829334259033203,0.005720223765820265,0.005605778191238642,0.005494000390172005,0.005339557304978371,0.005170891061425209,0.0050126672722399235,0.004844889044761658,0.004645556211471558,0.004451556596904993,0.004298223182559013,0.004214668646454811,0.004137111362069845,0.004032222554087639,0.003926446661353111,0.0037968894466757774,0.003654889762401581,0.0034942226484417915,0.0033297783229500055,0.0031373342499136925,0.0029135558288544416,0.0026680012233555317,0.002423112513497472,0.002180223586037755,0.0019042222993448377,0.0009551126859150827,0.0009322228725068271,0.0009304450359195471,0.0009113347623497248,0.0008993347291834652,0.0008868894074112177,0.0008504452998749912,0.0008242221083492041,0.0008264456992037594,0.0008180021541193128,0.0008108897600322962,0.0007986678974702954,0.0007911117281764746,0.0007880011107772589,0.0007726682815700769,0.0007611119654029608,0.0007200013496913016,0.0006933340337127447,0.0006644456880167127,0.0006577790481969714,0.0006622229120694101,0.000655334850307554,0.0006591122946701944,0.0006551121477968991,0.0006477791466750205,0.0006355560617521405,0.0006251119775697589,0.000617112556938082,0.0006131124100647867,0.0005995568935759366,0.0005935567314736545,0.0005844458937644958,0.0005786679685115814,0.0005831106100231409,0.0005848892033100128,0.0005855560302734375,0.0005788906710222363,0.0005826677079312503,0.0005820004735141993,0.0005811117589473724,0.0005811117589473724,0.0005722228088416159,0.0005702239577658474,0.000565333932172507,0.0005588899948634207,0.0005506674642674625,0.0005331118009053171,0.0005213349359109998,0.0004973337054252625,0.0004733349778689444,0.0004577798245009035,0.00043800059938803315,0.00042666742228902876,0.00040777772665023804,0.0003697789506986737,0.00034400075674057007,0.00033044524025171995,0.00032133483910001814,0.0003175561723764986,0.0003017791314050555,0.00028866695356555283,0.00028466805815696716,0.00028044439386576414,0.00028933503199368715,0.00030066692852415144,0.00029377845930866897,0.00029466714477166533,0.00028133433079347014,0.0002700015902519226,0.0002528892655391246,0.00023844465613365173,0.00020155600213911384,6.3333660364151e-05,-4.62217467429582e-05
129,235740,1141,2024-10-27,26.454,26.463,-83.579,-83.606,26.4585,-83.5925,66.4,10.6,101.0,30.0,35.9,,,,,,,31.7,61.5,,26.65,27.05,24.62,38.89,38.34,38.4,,,,6.7,6.5,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,235741,1141,2024-10-27,26.346,26.321,-83.748,-83.749,26.3335,-83.7485,79.2,12.5,68.0,30.0,45.5,,,,100.0,,,37.3,73.1,,27.43,27.86,25.1,38.71,38.54,38.37,,,,6.6,6.4,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,235742,1141,2024-10-27,26.672,26.697,-83.978,-83.981,26.6845,-83.9795,106.1,13.2,103.0,30.0,11.9,,,,50.0,37.0,,48.8,95.3,,27.25,27.46,23.67,38.8,38.49,38.68,,,,6.5,6.4,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,235743,1141,2024-10-27,26.846,26.847,-83.7,-83.729,26.8465,-83.7145,66.6,11.0,86.0,30.0,205.2,,,,100.0,24.0,,31.7,61.0,,26.88,27.1,25.83,38.37,38.37,38.32,,,,6.6,6.5,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,235744,1141,2024-10-27,26.828,26.808,-83.479,-83.496,26.818,-83.4875,56.5,10.7,57.0,30.0,30.4,,,,75.0,24.0,,26.9,51.4,,26.53,26.83,26.81,37.62,37.47,37.54,,,,6.8,6.5,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,235745,1141,2024-10-27,26.65,26.636,-83.352,-83.374,26.643,-83.363,51.2,7.0,36.0,30.0,10.3,,,,100.0,17.0,,26.2,48.7,,26.78,26.81,26.79,37.45,37.44,37.47,,,,6.6,6.5,6.4,,,,488.1661028818788,0.004952002316713333,0.0052100010216236115,0.005575999617576599,0.0053640007972717285,0.005437999963760376,0.005966000258922577,0.005867999047040939,0.005942001938819885,0.005979999899864197,0.005890000611543655,0.005982000380754471,0.0061779990792274475,0.006482001394033432,0.006459999829530716,0.006374001502990723,0.006546001881361008,0.006716001778841019,0.006842002272605896,0.006656002253293991,0.0065760016441345215,0.0070500001311302185,0.007054001092910767,0.006723999977111816,0.006565999239683151,0.006548002362251282,0.00643400102853775,0.006301999092102051,0.006316002458333969,0.006319999694824219,0.0063499994575977325,0.0063499994575977325,0.006344001740217209,0.006333999335765839,0.0064060017466545105,0.006583999842405319,0.006586000323295593,0.00648600235581398,0.006438001990318298,0.006484001874923706,0.006470002233982086,0.006446000188589096,0.006586000323295593,0.006694000214338303,0.00674000009894371,0.006815999746322632,0.006893999874591827,0.006930001080036163,0.006964001804590225,0.006992001086473465,0.006937999278306961,0.006960000842809677,0.007044002413749695,0.007060002535581589,0.0070500001311302185,0.007054001092910767,0.0070500001311302185,0.007063999772071838,0.007066000252962112,0.006978001445531845,0.006852000951766968,0.006758000701665878,0.006670001894235611,0.006567999720573425,0.00644800066947937,0.006296001374721527,0.006120000034570694,0.0058559998869895935,0.005559999495744705,0.0053660012781620026,0.005281999707221985,0.005244001746177673,0.00520000234246254,0.005138002336025238,0.005124002695083618,0.00508200004696846,0.004971999675035477,0.004860002547502518,0.004705999046564102,0.004608001559972763,0.004500001668930054,0.00435199961066246,0.004184000194072723,0.0040460005402565,0.003944002091884613,0.0038780011236667633,0.0038500018417835236,0.003776002675294876,0.003699999302625656,0.0036059990525245667,0.0034560002386569977,0.0033500008285045624,0.0032020024955272675,0.0029960013926029205,0.0028339996933937073,0.0026340000331401825,0.002396002411842346,0.0021199993789196014,0.0018500015139579773,0.0009739995002746582,0.000987999141216278,0.0009700022637844086,0.0009419992566108704,0.0009360015392303467,0.0009080022573471069,0.0008880011737346649,0.000890001654624939,0.0008840002119541168,0.000892002135515213,0.0008760020136833191,0.0008220002055168152,0.0008019991219043732,0.0007960014045238495,0.0007960014045238495,0.0007739998400211334,0.0007480010390281677,0.0007320009171962738,0.0007040016353130341,0.0007080025970935822,0.0006980001926422119,0.0006959997117519379,0.0006959997117519379,0.0006920024752616882,0.0006880015134811401,0.0006620027124881744,0.00066399946808815,0.0006620027124881744,0.0006520003080368042,0.0006479993462562561,0.0006300024688243866,0.0006179995834827423,0.0006300024688243866,0.0006380006670951843,0.0006700009107589722,0.0006680004298686981,0.00066399946808815,0.0006580017507076263,0.0006400011479854584,0.0006580017507076263,0.0006380006670951843,0.0006479993462562561,0.0006540007889270782,0.0006479993462562561,0.0006540007889270782,0.0006420016288757324,0.0006319992244243622,0.0005980022251605988,0.000568002462387085,0.0005480013787746429,0.0005200020968914032,0.0005220025777816772,0.0005040019750595093,0.0004700012505054474,0.0004200004041194916,0.00037400051951408386,0.0003559999167919159,0.00033600255846977234,0.0003379993140697479,0.0003260001540184021,0.0003260001540184021,0.000321999192237854,0.0003140009939670563,0.00030799955129623413,0.00030200183391571045,0.0002919994294643402,0.0003000013530254364,0.0003000013530254364,0.0003040023148059845,0.0003100000321865082,0.00028200075030326843,0.00025200098752975464,9.400025010108948e-05,-1.3999640941619873e-05
135,235746,1141,2024-10-27,26.588,26.565,-83.173,-83.186,26.5765,-83.1795,45.7,10.8,34.0,30.0,82.9,,,,75.0,,,24.9,47.2,,26.56,26.76,26.55,37.6,37.47,37.55,,,,6.8,6.5,5.8,,,,488.618896075092,0.0050530023872852325,0.005172333214432001,0.005424333270639181,0.005251666530966759,0.005277666728943586,0.005757000297307968,0.0059346663765609264,0.005940334405750036,0.005874669179320335,0.005851332563906908,0.005950334016233683,0.006218999624252319,0.0064340014941990376,0.006245667580515146,0.006241333205252886,0.0065036676824092865,0.006667000707238913,0.006778333336114883,0.006614666897803545,0.006608666852116585,0.007074333727359772,0.00712300231680274,0.006791668478399515,0.006563000846654177,0.006532667204737663,0.006449334789067507,0.0063420007936656475,0.006351333577185869,0.006340668071061373,0.006363334134221077,0.006406001280993223,0.006398668047040701,0.006401001941412687,0.0064593348652124405,0.006628667935729027,0.006651334930211306,0.006544334813952446,0.006492666434496641,0.006534334272146225,0.006574667524546385,0.006582001224160194,0.006712667178362608,0.00681466655805707,0.006844000890851021,0.006903334986418486,0.006960001308470964,0.007053001318126917,0.00710366852581501,0.007083334494382143,0.0070693339221179485,0.007078002672642469,0.007096333894878626,0.00713866762816906,0.007191334385424852,0.007217333186417818,0.0071856677532196045,0.007170666474848986,0.007159666623920202,0.007045666221529245,0.006948334630578756,0.006876668427139521,0.0067806667648255825,0.006678000558167696,0.0065470002591609955,0.006387667264789343,0.006191668566316366,0.005918668117374182,0.005612000357359648,0.005421001464128494,0.005384668242186308,0.005339666735380888,0.0052836681716144085,0.005225669126957655,0.005183000583201647,0.005121334921568632,0.0050213332287967205,0.0049413344822824,0.004817333538085222,0.004688667133450508,0.004567001014947891,0.004425335209816694,0.004250667989253998,0.004115001764148474,0.004007001873105764,0.003947666380554438,0.003893001703545451,0.003827334614470601,0.003749001771211624,0.0036330006550997496,0.0035053330939263105,0.003379000350832939,0.0032233335077762604,0.0030203331261873245,0.0028470016550272703,0.0026620018761605024,0.0024276666808873415,0.0021526676137000322,0.0018736677011474967,0.0010216664522886276,0.0010203340789303184,0.0010110009461641312,0.0009710025042295456,0.000958666845690459,0.0009536675061099231,0.0009256663615815341,0.0009206682443618774,0.0009030010551214218,0.0008990013157017529,0.0008973336662165821,0.0008570011705160141,0.0008450020104646683,0.0008470018510706723,0.000845668837428093,0.0008303355425596237,0.000789667188655585,0.0007616684888489544,0.0007296682451851666,0.0007236668025143445,0.0007216663216240704,0.0007256672834046185,0.0007243336294777691,0.0007226665620692074,0.000719001516699791,0.0007003347272984684,0.0007036682218313217,0.0006936670397408307,0.0006863344460725784,0.0006840017740614712,0.0006630004500038922,0.000662999867927283,0.0006670008297078311,0.0006623336230404675,0.0006790005718357861,0.0006736672366969287,0.0006730004097335041,0.0006763339042663574,0.0006756664370186627,0.0006793339853174984,0.0006763332639820874,0.0006780003313906491,0.0006790005718357861,0.0006826681201346219,0.0006766666774637997,0.0006763332639820874,0.0006550022517330945,0.0006276660715229809,0.0006000002031214535,0.000562333210837096,0.00054900161921978,0.0005423345719464123,0.0005246673827059567,0.0004910013522021472,0.0004386665823403746,0.0003993349673692137,0.0003860021533910185,0.0003733349440153688,0.00036800155066885054,0.00034933537244796753,0.000334668904542923,0.0003340020775794983,0.0003306679427623749,0.0003360013070050627,0.0003406678733881563,0.00033066669129766524,0.0003366681339684874,0.0003246677515562624,0.0003119992616120726,0.00030899979174137115,0.0002833344042301178,0.00024400030088145286,0.00010166627907892689,-2.3326526843447937e-06
136,235747,1141,2024-10-28,26.759,26.754,-82.995,-83.023,26.7565,-83.009,36.4,18.0,90.0,30.0,57.4,,,,100.0,,,17.5,32.0,,26.46,26.5,26.81,37.28,37.25,37.54,,,,6.9,6.8,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,235748,1141,2024-10-28,26.856,26.833,-83.083,-83.073,26.8445,-83.078,39.9,16.2,97.0,30.0,53.1,,,,75.0,,,18.1,34.4,,26.71,26.72,26.69,37.52,37.49,37.5,,,,6.6,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,235749,1141,2024-10-28,26.935,26.935,-83.169,-83.198,26.935,-83.1835,43.5,11.3,87.0,30.0,37.5,,,,75.0,,,21.1,40.3,,26.62,26.65,26.68,38.35,38.37,38.34,,,,6.7,6.7,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,235750,1141,2024-10-28,26.909,26.91,-83.389,-83.418,26.9095,-83.4035,51.4,12.7,83.0,30.0,23.2,,,,75.0,,,25.0,48.1,,26.49,26.56,26.58,38.27,38.24,38.32,,,,6.6,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,235751,1141,2024-10-28,27.07,27.071,-83.65,-83.678,27.0705,-83.664,58.3,13.9,99.0,30.0,48.9,,,,75.0,,,27.3,52.6,,26.06,26.37,26.4,37.91,38.27,38.35,,,,6.7,6.5,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,235752,1141,2024-10-28,27.179,27.192,-83.89,-83.915,27.1855,-83.9025,68.8,12.8,78.0,30.0,26.2,,,,100.0,12.0,,31.9,62.4,,26.64,26.71,25.94,38.42,38.34,38.02,,,,6.5,6.5,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,235753,1141,2024-10-28,27.213,27.224,-84.146,-84.172,27.2185,-84.159,89.6,15.0,86.0,30.0,33.7,,,,75.0,20.0,,42.0,81.2,,26.49,26.53,23.32,38.34,38.33,38.23,,,,6.6,6.5,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,235793,1143,2024-10-13,28.978,28.983,-90.334,-90.311,28.9805,-90.3225,7.8,,,30.0,33.4,,,,,,,6.5,14.4,14.4,27.1,27.18,28.28,32.57,32.66,34.22,8.399,8.199,10.301,6.3,6.4,3.7,86.31,88.47,25.81,523.1903632203017,0.0010715557727962732,0.001193334232084453,0.0012862235307693481,0.0012346676085144281,0.0012768900487571955,0.0015228899428620934,0.0016788890352472663,0.0017695559654384851,0.0017962227575480938,0.001741556217893958,0.0016955563332885504,0.001860222895629704,0.0020977784879505634,0.0019440001342445612,0.001839778502471745,0.002111334353685379,0.002257778774946928,0.002274000784382224,0.002196223009377718,0.0022071124985814095,0.0025506678503006697,0.0026822227519005537,0.0024871118366718292,0.002313334494829178,0.0023095570504665375,0.0022924451623111963,0.002271778415888548,0.002291112206876278,0.002304001012817025,0.0023244444746524096,0.002318223239853978,0.00233177887275815,0.0023420006036758423,0.0023668897338211536,0.002474890323355794,0.002523556351661682,0.0024666674435138702,0.0024713340681046247,0.002491334220394492,0.0025171120651066303,0.002574889687821269,0.002627111505717039,0.0026544455904513597,0.0026862232480198145,0.0027422234416007996,0.002795556792989373,0.0028611114248633385,0.002917112549766898,0.0029648898635059595,0.0030180008616298437,0.0030966682825237513,0.003177778562530875,0.0032582234125584364,0.003342001000419259,0.003416667692363262,0.0034522227942943573,0.003510889830067754,0.003574667265638709,0.0035800007171928883,0.0036084449384361506,0.003658668138086796,0.0037044452037662268,0.0037520010955631733,0.00379911158233881,0.0038433345034718513,0.0038442229852080345,0.0038180004339665174,0.003785111475735903,0.0037962226197123528,0.003854223061352968,0.003919556271284819,0.003962223418056965,0.0040204450488090515,0.004084667190909386,0.004131111782044172,0.004144000355154276,0.004167778417468071,0.0041773347184062,0.004178222268819809,0.004172445274889469,0.004158446099609137,0.004135556053370237,0.004107556771486998,0.004088222980499268,0.0040924460627138615,0.004113778471946716,0.004133334383368492,0.0041351113468408585,0.0041011120192706585,0.004038889892399311,0.003949334844946861,0.0038306675851345062,0.003677557222545147,0.003494667587801814,0.0032748894300311804,0.003033333458006382,0.002780000679194927,0.0025177784264087677,0.0013720012502744794,0.0013464452931657434,0.0013328894274309278,0.001316890586167574,0.0012964457273483276,0.0012744454434141517,0.0012640005443245173,0.0012546678772196174,0.0012353339698165655,0.0012108898954465985,0.0011986680328845978,0.0011897790245711803,0.0011835561599582434,0.0011777787003666162,0.0011680006282404065,0.0011577787809073925,0.0011377789778634906,0.0011188896605744958,0.0010995571501553059,0.0010862230556085706,0.0010726675391197205,0.0010593339102342725,0.0010453334543853998,0.0010266676545143127,0.0010153348557651043,0.0009973339037969708,0.000983556965366006,0.0009700010414235294,0.0009597784373909235,0.0009522239561192691,0.0009455565013922751,0.00094400136731565,0.0009484448237344623,0.0009560005273669958,0.000972667068708688,0.000989334424957633,0.001008667517453432,0.001026000827550888,0.0010475561721250415,0.0010673337383195758,0.0010848897509276867,0.0011006672866642475,0.0011142231523990631,0.0011228894582018256,0.0011282232590019703,0.0011262231273576617,0.001118223648518324,0.0011068896856158972,0.001086223404854536,0.0010728902416303754,0.0010522226803004742,0.0010257781250402331,0.0009888894855976105,0.0009353343048132956,0.0008793345186859369,0.0008273344137705863,0.0007908898987807333,0.0007706678006798029,0.0007535562617704272,0.0007322228047996759,0.0007091123261488974,0.000692001252900809,0.0006764456629753113,0.0006660003564320505,0.0006555558647960424,0.0006364451255649328,0.0006195567548274994,0.000600445200689137,0.0005808894638903439,0.0005613346002064645,0.0005397784407250583,0.0004980005323886871,0.0003508900699671358,0.00023244570184033364
